Date,Action,No. Of Stocks,Returns,Portfolio Value
2018-11-26,Sell,-38.0,0.0,-681.0
2018-11-29,Buy,37.0,-4.56498155859949,2043.0
2019-01-07,Sell,-38.0,-3.1740504750547904,-615.550048828125
2019-03-05,Buy,37.0,-7.194142138398618,2288.199951171875
2019-03-28,Sell,-38.0,0.7241409504271878,-660.60009765625
2019-04-30,Buy,37.0,-2.2938304035532098,2323.5
2019-05-17,Sell,-38.0,0.31347444678149206,-716.550048828125
2019-05-28,Buy,37.0,0.6124514333375242,2271.449951171875
2019-06-03,Sell,-38.0,3.7292803847632783,-763.150146484375
2019-07-01,Buy,37.0,2.47085122953159,2148.7998046875
2019-07-26,Sell,-38.0,-9.186597839424715,-469.85009765625
2019-08-02,Buy,37.0,-4.341394872798188,2130.699951171875
2019-09-18,Sell,-38.0,6.004391595691372,-646.35009765625
2019-09-20,Buy,37.0,-6.499953993129637,2282.89990234375
2019-11-26,Sell,-38.0,6.109877834722055,-895.25
2020-01-20,Buy,37.0,3.4909978206926873,2208.449951171875
2020-03-23,Sell,-39.0,-37.503430092758535,-1662.650146484375
2020-04-01,Buy,38.0,-5.5555588619197955,388.449951171875
2020-05-22,Sell,-39.0,25.568531038721567,-2165.300048828125
2020-05-29,Buy,38.0,-5.373543713106443,545.199951171875
2020-06-22,Sell,-39.0,3.5329713753685654,-2310.550048828125
2020-07-22,Buy,38.0,-4.128425136720882,674.849853515625
2020-08-03,Sell,-39.0,-3.781212453144178,-2242.60009765625
2020-10-07,Buy,38.0,-3.491582328641818,834.7998046875
2020-10-22,Sell,-39.0,-2.223092698793494,-2171.400146484375
2020-10-23,Buy,38.0,0.0,910.849853515625
2020-10-26,Sell,-39.0,0.0,-1984.300048828125
2020-11-25,Buy,38.0,-3.4051586183940996,1066.949951171875
2020-12-18,Sell,-39.0,6.977825037178542,-2280.60009765625
2021-04-20,Buy,38.0,-10.071090898908597,1320.2998046875
2021-06-18,Sell,-39.0,13.193356011208701,-2846.80029296875
2021-08-11,Buy,38.0,12.221134430723257,880.349609375
2021-10-28,Sell,-39.0,-1.8212727580561139,-2820.350341796875
2021-12-17,Buy,38.0,16.611361963992998,358.799560546875
2022-04-18,Sell,-39.0,19.625149944189356,-3355.800537109375
2022-06-01,Buy,38.0,-1.6921640187090636,364.299560546875
2022-06-06,Sell,-39.0,3.4781915180540857,-3452.700439453125
2022-06-09,Buy,38.0,-1.148590509820957,425.949462890625
2022-06-14,Sell,-39.0,-5.133986086060293,-3255.800537109375
2022-07-26,Buy,38.0,-5.7952922952041686,669.799560546875
2022-08-01,Sell,-39.0,2.3031257366460833,-3303.50048828125
2022-10-07,Buy,38.0,10.896196723323982,300.049560546875
2022-12-28,Sell,-39.0,-0.8321888309754666,-3286.800537109375
2022-12-30,Buy,38.0,-1.3066743922781843,329.24951171875
2023-02-22,Sell,-39.0,7.463730708163241,-3511.450439453125
2023-03-29,Buy,38.0,-1.2218736856586698,367.849609375
2023-05-12,Sell,-39.0,16.83891890967888,-4171.05029296875
2023-07-05,Buy,38.0,-6.656373922571968,718.99951171875
2023-07-20,Sell,-39.0,-0.9964007168779099,-4149.70068359375
2023-08-29,Buy,38.0,4.248006751388411,514.84912109375
