Date,Action,No. Of Stocks,Returns,Portfolio Value
2018-11-16,Buy,153.0,0.0,419.9537353515625
2019-01-04,Sell,-154.0,1.4347054489493027,-241.09625244140625
2019-01-31,Buy,153.0,-10.386228651028972,508.4537353515625
2019-02-12,Sell,-154.0,-0.8718018218557111,-241.99627685546875
2019-03-26,Buy,153.0,1.6901391677043964,485.75372314453125
2019-04-30,Sell,-154.0,2.96696766023401,-265.59625244140625
2019-05-17,Buy,153.0,0.953165236386222,458.30377197265625
2019-05-21,Sell,-154.0,-1.8134047865957847,-250.9962158203125
2019-05-28,Buy,153.0,-2.520254937678079,477.103759765625
2019-07-12,Sell,-154.0,-0.14426872912608468,-249.646240234375
2019-07-30,Buy,153.0,-1.684122166710289,543.0537719726562
2019-08-05,Sell,-154.0,-2.1357036080916325,-233.646240234375
2019-08-27,Buy,153.0,-1.299944164871225,551.0037841796875
2019-09-19,Sell,-154.0,2.2679142937110486,-269.69622802734375
2019-11-04,Buy,153.0,13.540197461212976,439.30377197265625
2020-01-07,Sell,-154.0,4.568316325734312,-288.59625244140625
2020-04-16,Buy,153.0,15.123834305271465,335.25372314453125
2020-06-16,Sell,-154.0,11.522864764537765,-365.9462890625
2020-09-24,Buy,153.0,-27.860364281131154,609.4537353515625
2020-11-04,Sell,-154.0,8.156600718687512,-484.4962158203125
2020-12-21,Buy,153.0,-6.226114481273259,692.8038330078125
2021-02-22,Sell,-154.0,3.6624294282568526,-572.3961181640625
2021-03-18,Buy,153.0,-5.291302168261303,764.703857421875
2021-03-30,Sell,-154.0,3.0384245706315482,-620.59619140625
2021-04-13,Buy,153.0,-2.08280965375508,776.5538330078125
2021-07-15,Sell,-154.0,16.171232689922842,-804.2462158203125
2021-11-22,Buy,153.0,-11.592024008872547,955.15380859375
2021-12-02,Sell,-154.0,0.6534616515862179,-793.09619140625
2022-01-05,Buy,153.0,-5.9143997041168905,1051.5538330078125
2022-01-10,Sell,-154.0,1.8126279176368554,-799.1961669921875
2022-02-22,Buy,153.0,6.9910918618969475,935.15380859375
2022-09-09,Sell,-154.0,-13.265625522021585,-576.4962158203125
2022-09-14,Buy,153.0,4.120911329248389,898.90380859375
2022-12-06,Sell,-154.0,12.569791279197663,-713.9962158203125
2023-01-13,Buy,153.0,6.773516039786331,789.65380859375
